employee_id,full_name,age,gender,email,phone,city,country,department,job_title,employment_type,education_level,join_date,years_of_experience,annual_salary,bonus_percentage,performance_rating,nps_score,projects_completed,training_hours,remote_work,last_promotion_year,manager_id,team_size,monthly_leaves_taken,attrition_risk,salary_currency,linkedin_profile,contract_end_date
EMP1596,Noah Smith,43.0,Prefer not to say,noah.smith@hotmail.com,9.19554E+11,Toronto,Canada,Product,Product Manager,Contract,MBA,04-30-2017,6,979655.0,9.81,Average,5.0,-6,83.3,No,2023.0,No Manager,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",2.1,Medium,USD,linkedin.com/in/noahsmith828,17-07-2025
EMP2642,Sneha Smith,52.0,Prefer not to say,sneha.smith@company.in,8874258961,Hyderabad,India,Operations,Supply Chain Analyst,Permanent,MCA,06-12-2019,4,883576.0,16.65,Good,0.0,33,21.02,Yes,2011.0,EMP1041,"<bound method Series.median of 11     NaN
24     NaN
27     NaN
38     NaN
42     NaN
        ..
1986   NaN
1989   NaN
2004   NaN
2021   NaN
2034   NaN
Name: Operations, Length: 217, dtype: float64>",4.1,Low,CAD,linkedin.com/in/snehasmith321,Permenent
EMP2447,vikram jones,59.0,Prefer not to say,vikram.jones@corp.com,8618892569,Mumbai,India,Legal,Senior Counsel,Permanent,MCA,10-03-2012,11,1005939.0,19.46,Average,10.0,0,111.74,No,2016.0,EMP1813,"<bound method Series.median of 12     NaN
23     NaN
52     NaN
56     NaN
71     NaN
        ..
1996   NaN
2000   NaN
2005   NaN
2007   NaN
2027   NaN
Name: Legal, Length: 194, dtype: float64>",0.7,High,USD,linkedin.com/in/vikramjones631,Permenent
EMP3441,Sneha Wilson,34.0,Female,sneha.wilson@corp.com,-11527,Singapore,Singapore,Data science,ML Engineer,Permanent,Associate,01-20-2022,26,1396538.0,16.92,4,0.0,15,25.77,No,2014.0,EMP3433,"<bound method Series.median of 13     NaN
15     NaN
29     NaN
37     NaN
46     NaN
        ..
2014   NaN
2019   NaN
2026   NaN
2028   NaN
2030   NaN
Name: Data science, Length: 218, dtype: float64>",4.7,Low,INR,linkedin.com/in/snehawilson962,Permenent
EMP1942,Evelyn Nair,42.0,Prefer not to say,evelyn.nair@corp.com,-8189908703,Ahmedabad,India,Sales,Senior Sales Rep,Contract,Master's,17-Mar-17,6,931399.0,37.71,Below Average,7.0,41,160.57,No,2017.0,EMP1032,"<bound method Series.median of 14     NaN
70     NaN
75     NaN
82     NaN
84     NaN
        ..
2002   NaN
2010   NaN
2013   NaN
2025   NaN
2035   NaN
Name: Sales, Length: 196, dtype: float64>",3.4,Low,INR,linkedin.com/in/evelynnair172,26-01-2024
EMP3807,Pooja Rao,49.0,Female,pooja.rao@outlook.com,(440) 763-6113,London,UK,Data science,Senior Data Scientist,Permanent,Master's,01-Jan-21,3,1706896.0,32.38,Outstanding,9.0,18,5.63,No,2017.0,EMP2887,"<bound method Series.median of 13     NaN
15     NaN
29     NaN
37     NaN
46     NaN
        ..
2014   NaN
2019   NaN
2026   NaN
2028   NaN
2030   NaN
Name: Data science, Length: 218, dtype: float64>",4.5,High,INR,linkedin.com/in/poojarao387,Permenent
EMP1406,Unknown_employee,49.0,Non-binary,noah.nair@company.in,(952) 931-4939,Dubai,UAE,Finance,Financial Analyst,Permanent,High School,29-10-2022,1,895533.0,29.59,Good,0.0,-4,150.04,No,2014.0,EMP1814,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",1.5,High,CAD,linkedin.com/in/noahnair481,Permenent
EMP2275,Neha Jones,46.0,Female,neha.jones@outlook.com,-6752,Toronto,Canada,Customer support,Senior Agent,Contract,MCA,18-05-2016,7,588344.0,188.68,Average,7.0,35,194.61,No,2023.0,EMP3472,"<bound method Series.median of 6      NaN
9      NaN
17     NaN
20     NaN
39     NaN
        ..
1997   NaN
1999   NaN
2011   NaN
2018   NaN
2022   NaN
Name: Customer support, Length: 198, dtype: float64>",4.6,Low,GBP,linkedin.com/in/nehajones699,22-07-2025
EMP1735,Jackson Garcia,48.0,Non-binary,jackson.garcia@hotmail.com,Not Available,Bangalore,India,Finance,Finance Manager,Permanent,PhD,15-04-2016,7,1272693.0,16.47,Below Average,7.0,26,36.07,Yes,2016.0,EMP3910,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",4.0,Low,USD,linkedin.com/in/jacksongarcia447,Permenent
EMP1848,Rohan Shah,58.0,Prefer not to say,rohan.shah@corp.com,9.19568E+11,Singapore,Singapore,Engineering,Engineering Manager,Permanent,Associate,06-08-2018,5,2053514.0,12.66,Below Average,0.0,12,12.76,No,2017.0,EMP1977,"<bound method Series.median of 3      NaN
19     NaN
22     NaN
40     NaN
50     NaN
        ..
2015   NaN
2017   NaN
2020   NaN
2031   NaN
2036   NaN
Name: Engineering, Length: 231, dtype: float64>",3.3,med,AUD,linkedin.com/in/rohanshah386,Permenent
EMP3339,Lucas Chatterjee,51.0,Non-binary,lucas.chatterjee@gmail.com,-7444142794,Ahmedabad,India,Customer support,VP Support,Permanent,Associate,06-02-2015,8,664751.5,8.74,Good,7.0,4,43.31,Yes,2021.0,EMP1680,"<bound method Series.median of 6      NaN
9      NaN
17     NaN
20     NaN
39     NaN
        ..
1997   NaN
1999   NaN
2011   NaN
2018   NaN
2022   NaN
Name: Customer support, Length: 198, dtype: float64>",2.3,Low,INR,linkedin.com/in/lucaschatterjee700,Permenent
EMP2743,Aarav Bose,41.0,Male,aarav@bose,(668) 212-8202,London,UK,Product,Senior PM,Permanent,MCA,02-Aug-14,9,1358019.0,22.52,Good,3.0,6,142.31,No,2016.0,EMP1387,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",2.7,High,CAD,Not Available,Permenent
EMP1040,Rohan Johnson,24.0,Male,rohan.johnson@outlook.com,(468) 953-2736,London,UK,Engineering,DevOps Engineer,Permanent,,18-07-2021,2,2229750.0,180.48,Excellent,4.0,1,35.83,Yes,2015.0,EMP1193,"<bound method Series.median of 3      NaN
19     NaN
22     NaN
40     NaN
50     NaN
        ..
2015   NaN
2017   NaN
2020   NaN
2031   NaN
2036   NaN
Name: Engineering, Length: 231, dtype: float64>",2.7,Medium,CAD,Not Available,Permenent
EMP1927,Emma Sharma,28.0,Prefer not to say,emma.sharma@company.in,-8210073628,Delhi,India,Legal,Senior Counsel,Contract,Master's,24-02-2019,4,1185780.0,15.45,Below Average,6.0,42,95.75,No,2022.0,EMP1780,"<bound method Series.median of 12     NaN
23     NaN
52     NaN
56     NaN
71     NaN
        ..
1996   NaN
2000   NaN
2005   NaN
2007   NaN
2027   NaN
Name: Legal, Length: 194, dtype: float64>",2.1,High,AUD,linkedin.com/in/emmasharma843,23-09-2026
EMP2721,Amelia Pillai,46.0,Non-binary,amelia.pillai@outlook.com,9.19749E+11,San Francisco,USA,Operations,Chief Operating Officer,Permanent,High School,28-08-2020,3,1554122.0,4.84,Below Average,76.0,50,66.97,Yes,2017.0,EMP3344,"<bound method Series.median of 11     NaN
24     NaN
27     NaN
38     NaN
42     NaN
        ..
1986   NaN
1989   NaN
2004   NaN
2021   NaN
2034   NaN
Name: Operations, Length: 217, dtype: float64>",4.4,Low,GBP,linkedin.com/in/ameliapillai35,Permenent
EMP1925,Charlotte Joshi,45.0,Non-binary,charlotte.joshi@yahoo.com,(529) 980-5045,Dubai,UAE,Finance,Financial Analyst,Contract,MCA,29-11-2014,9,859157.0,29.87,Below Average,6.0,12,169.58,No,2023.0,EMP3949,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",1.1,Low,CAD,linkedin.com/in/charlottejoshi447,16-12-2024
EMP1006,Rajesh Kumar,60.0,Non-binary,rajesh.kumar@hotmail.com,(363) 199-1010,Bangalore,India,Marketing,Marketing Manager,Permanent,MCA,12-02-2017,6,950163.0,37.72,Good,7.0,19,119.84,Yes,2018.0,EMP1734,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",0.4,Medium,INR,linkedin.com/in/rajeshkumar355,Permenent
EMP3107,Charlotte Johnson,58.0,Male,charlotte.johnson@hotmail.com,9.19838E+11,London,UK,Operations,Chief Operating Officer,Permanent,MBA,01-Apr-22,1,1833714.0,22.42,Excellent,9.0,34,86.02,No,2019.0,EMP3227,"<bound method Series.median of 11     NaN
24     NaN
27     NaN
38     NaN
42     NaN
        ..
1986   NaN
1989   NaN
2004   NaN
2021   NaN
2034   NaN
Name: Operations, Length: 217, dtype: float64>",3.0,Low,INR,Not Available,Permenent
EMP1094,Sophia Reddy,56.0,Prefer not to say,sophia.reddy@corp.com,9011963648,Hyderabad,India,Hr,HR Business Partner,Permanent,Master's,23-10-2015,8,936670.0,25.37,Outstanding,5.0,32,65.41,No,2017.0,EMP3836,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",2.0,High,INR,Not Available,Permenent
EMP3135,Priya Desai,33.0,Female,priya@desai,-8061976125,Kolkata,India,Data science,Head of Data,Contract,PhD,16-12-2016,7,2317862.0,37.37,Below Average,7.0,32,49.99,Yes,2010.0,EMP1746,"<bound method Series.median of 13     NaN
15     NaN
29     NaN
37     NaN
46     NaN
        ..
2014   NaN
2019   NaN
2026   NaN
2028   NaN
2030   NaN
Name: Data science, Length: 218, dtype: float64>",1.2,Low,CAD,linkedin.com/in/priyadesai624,04-08-2025
EMP2446,Lucas Chopra,52.0,Female,lucas.chopra@company.in,-9397,Ahmedabad,India,Finance,Data Analyst,Permanent,MCA,13-12-2020,3,1036253.0,11.27,Excellent,3.0,21,94.46,Yes,2023.0,EMP2770,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",0.7,Medium,AUD,linkedin.com/in/lucaschopra27,Permenent
EMP3025,Harper Malhotra,60.0,Non-binary,harper.malhotra@corp.com,7102130851,London,UK,Hr,Recruiter,Permanent,High School,03-08-2013,10,949038.0,26.28,Below Average,8.0,38,31.81,Yes,2023.0,No Manager,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",4.9,Low,CAD,linkedin.com/in/harpermalhotra937,Permenent
EMP2025,Lucas Iyer,56.0,Non-binary,lucas.iyer@company.in,(395) 544-8887,Toronto,Canada,Hr,Chief Human Resources Officer,Permanent,Bachelor's,18-Jan-22,1,1397837.0,16.84,Excellent,9.0,47,52.75,No,2023.0,EMP1315,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",5.0,High,USD,linkedin.com/in/lucasiyer193,Permenent
EMP2338,Sneha Verma,38.0,Prefer not to say,sneha.verma@yahoo.com,7491914923,Kolkata,India,Product,Product Manager,Permanent,Associate,05-05-2017,19,0.0,9.54,Outstanding,3.0,41,6.21,Yes,2020.0,EMP3855,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",4.0,Low,CAD,linkedin.com/in/snehaverma71,Permenent
EMP1789,Suresh Garcia,881.0,Non-binary,suresh.garcia@company.in,-5222,Sydney,Australia,Marketing,SEO Specialist,Permanent,Associate,15-01-2018,5,1301223.0,25.13,5,1.0,8,66.4,Yes,2010.0,EMP1719,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",5.0,Low,USD,Not Available,Permenent
EMP3790,Abigail Shah,50.0,Prefer not to say,abigail.shah@corp.com,9.19274E+11,Sydney,Australia,Hr,HR Manager,Permanent,,09-17-2018,5,637623.0,149.44,Average,5.0,44,196.84,No,2018.0,EMP2480,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",3.4,High,INR,linkedin.com/in/abigailshah772,Permenent
EMP3990,Evelyn Desai,37.0,Non-binary,evelyn.desai@corp.com,Not Available,Mumbai,India,Hr,Chief Human Resources Officer,Permanent,BE/BTech,17-May-13,10,1585380.0,10.75,Outstanding,62.0,39,134.18,No,2018.0,EMP1900,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",4.0,Low,INR,linkedin.com/in/evelyndesai918,Permenent
EMP2366,Meena Jones,41.0,Non-binary,meena.jones@outlook.com,-10376,Kolkata,India,Data science,Data Analyst,Permanent,Master's,20-Jun-21,2,854315.0,31.03,Excellent,2.0,45,99.16,Yes,2011.0,EMP2935,"<bound method Series.median of 13     NaN
15     NaN
29     NaN
37     NaN
46     NaN
        ..
2014   NaN
2019   NaN
2026   NaN
2028   NaN
2030   NaN
Name: Data science, Length: 218, dtype: float64>",3.6,Low,USD,linkedin.com/in/meenajones366,Permenent
EMP1003,noah pillai,58.0,Male,noah.pillai@outlook.com,9.18407E+11,Bangalore,India,Operations,Supply Chain Analyst,Permanent,PhD,16-Oct-11,12,1093322.0,32.08,Good,9.0,43,61.07,No,2018.0,No Manager,"<bound method Series.median of 11     NaN
24     NaN
27     NaN
38     NaN
42     NaN
        ..
1986   NaN
1989   NaN
2004   NaN
2021   NaN
2034   NaN
Name: Operations, Length: 217, dtype: float64>",0.3,Low,AUD,Not Available,Permenent
EMP1287,Lucas Davis,29.0,Female,lucas.davis@company.in,-8247955083,San Francisco,USA,Customer support,Support Agent,Permanent,High School,23-10-2010,13,462707.0,3.4,Below Average,10.0,19,142.3,0,2017.0,EMP3126,"<bound method Series.median of 6      NaN
9      NaN
17     NaN
20     NaN
39     NaN
        ..
1997   NaN
1999   NaN
2011   NaN
2018   NaN
2022   NaN
Name: Customer support, Length: 198, dtype: float64>",4.1,Medium,USD,linkedin.com/in/lucasdavis881,Permenent
EMP1669,Divya Johnson,56.0,Non-binary,divya.johnson@outlook.com,(948) 304-5184,Ahmedabad,India,Engineering,Software Engineer,Permanent,High School,10-20-2019,4,982845.0,8.2,Good,7.0,4,154.87,Yes,2015.0,EMP3812,"<bound method Series.median of 3      NaN
19     NaN
22     NaN
40     NaN
50     NaN
        ..
2015   NaN
2017   NaN
2020   NaN
2031   NaN
2036   NaN
Name: Engineering, Length: 231, dtype: float64>",4.0,High,INR,linkedin.com/in/divyajohnson879,Permenent
EMP1095,Meena Smith,39.0,Prefer not to say,meena.smith@corp.com,9.17188E+11,Mumbai,India,Marketing,Marketing Analyst,Permanent,Master's,18-Mar-13,10,723607.0,13.95,Average,1.0,25,124.66,0,2015.0,EMP3168,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",2.0,Low,GBP,Not Available,Permenent
EMP1476,Priya Davis,53.0,Prefer not to say,priya.davis@yahoo.com,9644839079,Kolkata,India,Operations,Supply Chain Analyst,Permanent,High School,04-05-2023,0,-942470.0,9.06,Average,5.0,20,92.37,No,2013.0,No Manager,"<bound method Series.median of 11     NaN
24     NaN
27     NaN
38     NaN
42     NaN
        ..
1986   NaN
1989   NaN
2004   NaN
2021   NaN
2034   NaN
Name: Operations, Length: 217, dtype: float64>",1.2,High,AUD,Not Available,Permenent
EMP3890,Liam Reddy,41.0,Male,liam.reddy@hotmail.com,Not Available,Pune,India,Marketing,Chief Marketing Officer,Permanent,Master's,26-Sep-23,0,-1773114.0,39.13,Outstanding,4.0,33,94.03,No,2022.0,EMP2398,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",4.6,Low,INR,linkedin.com/in/liamreddy278,Permenent
EMP1073,Amelia Shah,35.0,Non-binary,amelia.shah@company.in,-9711,Kolkata,India,Customer support,Senior Agent,Contract,Bachelor's,04-17-2013,10,519064.0,39.04,Average,8.0,6,66.3,Yes,2012.0,EMP2737,"<bound method Series.median of 6      NaN
9      NaN
17     NaN
20     NaN
39     NaN
        ..
1997   NaN
1999   NaN
2011   NaN
2018   NaN
2022   NaN
Name: Customer support, Length: 198, dtype: float64>",1.8,High,CAD,Not Available,04-09-2024
EMP1435,Rajesh Das,30.0,Female,rajesh.das@company.in,Not Available,Singapore,Singapore,Product,Product Analyst,Permanent,MCA,03-01-2014,10,909158.0,37.88,Outstanding,5.0,23,166.33,0,2015.0,No Manager,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",0.4,Low,INR,linkedin.com/in/rajeshdas73,Permenent
EMP1474,Pooja Johnson,27.0,Prefer not to say,pooja.johnson@corp.com,-6447,Ahmedabad,India,Data science,Data Analyst,Permanent,MBA,02-28-2023,0,897390.0,19.42,Below Average,8.0,9,88.31,Yes,2011.0,EMP2570,"<bound method Series.median of 13     NaN
15     NaN
29     NaN
37     NaN
46     NaN
        ..
2014   NaN
2019   NaN
2026   NaN
2028   NaN
2030   NaN
Name: Data science, Length: 218, dtype: float64>",2.5,High,INR,Not Available,Permenent
EMP3869,SNEHA PILLAI,33.0,Prefer not to say,sneha.pillai@corp.com,7112345345,Chennai,India,Marketing,Content Strategist,Permanent,Master's,08-24-2020,3,1120578.0,18.25,Excellent,3.0,33,14.07,Yes,2018.0,EMP2818,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",2.9,High,CAD,linkedin.com/in/snehapillai686,Permenent
EMP3357,Unknown_employee,37.0,Male,arjun.johnson@hotmail.com,9.19446E+11,Singapore,Singapore,Product,Group PM,Permanent,BE/BTech,10-12-2011,12,1741431.0,5.74,Good,9.0,41,135.11,No,2017.0,EMP2814,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",4.3,Medium,GBP,Not Available,Permenent
EMP2342,Lucas Bose,52.0,Male,lucas@bose,Not Available,New York,USA,Finance,Controller,Permanent,MCA,16-03-2023,0,1680680.0,25.18,Below Average,9.0,0,20.8,Yes,2018.0,EMP1290,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",2.0,Medium,GBP,Not Available,Permenent
EMP1022,Rajesh Chatterjee,24.0,Prefer not to say,rajesh.chatterjee@gmail.com,9.1956E+11,Chennai,India,Engineering,DevOps Engineer,Permanent,PhD,01-Aug-13,10,2255436.0,20.32,1,9.0,23,36.45,No,2010.0,EMP3560,"<bound method Series.median of 3      NaN
19     NaN
22     NaN
40     NaN
50     NaN
        ..
2015   NaN
2017   NaN
2020   NaN
2031   NaN
2036   NaN
Name: Engineering, Length: 231, dtype: float64>",2.5,High,INR,linkedin.com/in/rajeshchatterjee911,Permenent
EMP2064,Jackson Brown,37.0,Non-binary,jackson.brown@@company.in,-7648033136,Hyderabad,India,Hr,HR Manager,Contract,MBA,10-02-2022,1,726631.0,3.83,Average,8.0,18,57.93,No,2017.0,EMP2341,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",4.8,Medium,INR,linkedin.com/in/jacksonbrown192,08-02-2026
EMP1979,Liam Das,32.0,Non-binary,liam.das@@company.in,9.18084E+11,Ahmedabad,India,Legal,Senior Counsel,Permanent,MCA,25-07-2016,7,955936.0,0.5,Excellent,0.0,43,44.42,Yes,2010.0,EMP1605,"<bound method Series.median of 12     NaN
23     NaN
52     NaN
56     NaN
71     NaN
        ..
1996   NaN
2000   NaN
2005   NaN
2007   NaN
2027   NaN
Name: Legal, Length: 194, dtype: float64>",3.2,Medium,CAD,linkedin.com/in/liamdas596,Permenent
EMP3706,ethan singh,54.0,Prefer not to say,ethan.singh@@hotmail.com,-4594,Delhi,India,Product,Group PM,Contract,MBA,Not Available,8,1899963.0,13.32,Below Average,3.0,1,73.3,No,2012.0,EMP1154,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",4.2,Low,INR,linkedin.com/in/ethansingh275,06-08-2024
