employee_id,full_name,age,gender,email,phone,city,country,department,job_title,employment_type,education_level,join_date,exit_date,years_of_experience,annual_salary,bonus_percentage,performance_rating,nps_score,projects_completed,training_hours,remote_work,last_promotion_year,manager_id,team_size,monthly_leaves_taken,attrition_risk,salary_currency,linkedin_profile,contract_end_date
EMP1596,Noah Smith,43,Prefer not to say,noah.smith@hotmail.com,9.19554E+11,Toronto,Canada,Product,Product Manager,Part-Time,MBA,04-30-2017,,6,979655,9.81,Average,,-6,83.3,FALSE,2023,,,2.1,Medium,USD,linkedin.com/in/noahsmith828,17-07-2025
EMP2642,Sneha Smith,52,Prefer not to say,sneha.smith@company.in,8874258961,Hyderabad,India,Operations,Supply Chain Analyst,Part-Time,MCA,06-12-2019,,4,883576,16.65,Good,0,33,21.02,TRUE,2011,EMP1041,6,4.1,Low,CAD,linkedin.com/in/snehasmith321,
EMP2447,vikram jones,59,Prefer not to say,vikram.jones@corp.com,8618892569,Mumbai,India,Legal,Senior Counsel,Part-Time,MCA,10-03-2012,,11,1005939,19.46,Average,10,0,,FALSE,2016,EMP1813,19,0.7,High,USD,linkedin.com/in/vikramjones631,
EMP3441,Sneha Wilson,34,Female,sneha.wilson@corp.com,-11527,Singapore,Singapore,Data Science,ML Engineer,Part-Time,Associate,01-20-2022,,26,1396538,16.92,4,0,15,25.77,FALSE,2014,EMP3433,6,4.7,Low,INR,linkedin.com/in/snehawilson962,
EMP1942,Evelyn Nair,42,Prefer not to say,evelyn.nair@corp.com,-8189908703,Ahmedabad,India,Sales,Senior Sales Rep,Part-Time,Master's,17-Mar-17,,6,931399,37.71,,7,41,160.57,FALSE,2017,EMP1032,,3.4,Low,INR,linkedin.com/in/evelynnair172,26-01-2024
EMP3807,Pooja Rao,49,Female,pooja.rao@outlook.com,(440) 763-6113,London,UK,Data Science,Senior Data Scientist,Full-Time,Master's,01-Jan-21,,3,1706896,32.38,Outstanding,9,18,5.63,FALSE,,EMP2887,14,4.5,High,INR,linkedin.com/in/poojarao387,
EMP1406,,49,Non-Binary,noah.nair@company.in,(952) 931-4939,Dubai,UAE,Finance,Financial Analyst,Intern,High School,29-10-2022,,1,895533,29.59,Good,0,-4,150.04,FALSE,2014,EMP1814,,1.5,High,CAD,linkedin.com/in/noahnair481,
EMP2275,Neha Jones,46,Female,neha.jones@outlook.com,-6752,Toronto,Canada,Customer Support,Senior Agent,Full-Time,MCA,18-05-2016,,7,588344,188.68,Average,7,35,194.61,,2023,EMP3472,11,4.6,Low,GBP,linkedin.com/in/nehajones699,22-07-2025
EMP1735,Jackson Garcia,48,Non-Binary,jackson.garcia@hotmail.com,,Bangalore,India,Finance,Finance Manager,Contract,PhD,15-04-2016,,7,1272693,16.47,Below Average,7,26,36.07,TRUE,2016,EMP3910,19,4,Low,USD,linkedin.com/in/jacksongarcia447,
EMP1848,Rohan Shah,58,Prefer not to say,rohan.shah@corp.com,9.19568E+11,Singapore,Singapore,Engineering,Engineering Manager,Part-Time,Associate,06-08-2018,07-03-2023,5,2053514,12.66,Below Average,0,12,12.76,FALSE,2017,EMP1977,9,3.3,med,AUD,linkedin.com/in/rohanshah386,
EMP3339,Lucas Chatterjee,51,Non-Binary,lucas.chatterjee@gmail.com,-7444142794,Ahmedabad,India,Customer Support,VP Support,Contract,Associate,06-02-2015,,8,"â‚¹1,204,567",8.74,Good,7,4,43.31,TRUE,2021,EMP1680,18,2.3,Low,INR,linkedin.com/in/lucaschatterjee700,
EMP2743,Aarav Bose,,Male,aarav@bose,(668) 212-8202,London,UK,Product,Senior PM,Intern,MCA,02-Aug-14,,9,1358019,22.52,Good,3,6,142.31,FALSE,2016,EMP1387,3,2.7,High,CAD,,
EMP1040,Rohan Johnson,24,Male,rohan.johnson@outlook.com,(468) 953-2736,London,UK,Engineering,DevOps Engineer,Part-Time,  ,18-07-2021,,2,2229750,180.48,Excellent,4,1,35.83,TRUE,2015,EMP1193,,,Medium,CAD,,
EMP1927,Emma Sharma,28,Prefer not to say,emma.sharma@company.in,-8210073628,Delhi,India,Legal,Senior Counsel,Part-Time,Master's,24-02-2019,,4,"â‚¹945,358",15.45,Below Average,6,42,95.75,FALSE,2022,EMP1780,2,2.1,High,AUD,linkedin.com/in/emmasharma843,23-09-2026
EMP2721,Amelia Pillai,46,Non-Binary,amelia.pillai@outlook.com,9.19749E+11,San Francisco,USA,Operations,COO,Intern,High School,28-08-2020,,3,1554122,4.84,Below Average,76,50,66.97,yes,2017,EMP3344,15,4.4,Low,GBP,linkedin.com/in/ameliapillai35,
EMP1925,Charlotte Joshi,45,Non-Binary,charlotte.joshi@yahoo.com,(529) 980-5045,Dubai,UAE,Finance,Financial Analyst,Full-Time,MCA,29-11-2014,,9,859157,29.87,Below Average,6,12,169.58,FALSE,2023,EMP3949,18,1.1,Low,CAD,linkedin.com/in/charlottejoshi447,16-12-2024
EMP1006,Rajesh Kumar,60,Non-Binary,rajesh.kumar@hotmail.com,(363) 199-1010,Bangalore,India,Marketing,Marketing Manager,Part-Time,MCA,12-02-2017,,6,950163,37.72,Good,7,19,119.84,TRUE,2018,EMP1734,8,0.4,Medium,INR,linkedin.com/in/rajeshkumar355,
EMP3107,Charlotte Johnson,58,Male,charlotte.johnson@hotmail.com,9.19838E+11,London,UK,Operations,COO,Intern,MBA,01-Apr-22,26-05-2023,1,1833714,22.42,Excellent,9,34,86.02,FALSE,2019,EMP3227,4,3,Low,INR,,
EMP1094,Sophia Reddy,56,Prefer not to say,sophia.reddy@corp.com,9011963648,Hyderabad,India,HR,HR Business Partner,Part-Time,Master's,23-10-2015,,8,936670,25.37,Outstanding,,32,65.41,FALSE,2017,EMP3836,14,2,High,INR,,
EMP3135,Priya Desai,33,Female,priya@desai,-8061976125,Kolkata,India,Data Science,Head of Data,Intern,PhD,16-12-2016,,7,2317862,37.37,Below Average,7,32,49.99,TRUE,2010,EMP1746,2,1.2,Low,CAD,linkedin.com/in/priyadesai624,04-08-2025
EMP2446,Lucas Chopra,52,Female,lucas.chopra@company.in,-9397,Ahmedabad,India,Finace,Data Analyst,Full-Time,MCA,13-12-2020,,3,1036253,11.27,Excellent,3,21,94.46,TRUE,2023,EMP2770,20,0.7,Medium,AUD,linkedin.com/in/lucaschopra27,
EMP3025,Harper Malhotra,60,Non-Binary,harper.malhotra@corp.com,7102130851,London,UK,HR,Recruiter,Full-Time,High School,03-08-2013,,10,949038,26.28,Below Average,8,38,31.81,TRUE,2023,,9,4.9,Low,CAD,linkedin.com/in/harpermalhotra937,
EMP2025,Lucas Iyer,56,Non-Binary,lucas.iyer@company.in,(395) 544-8887,Toronto,Canada,HR,CHRO,Full-Time,Bachelor's,18-Jan-22,,1,1397837,16.84,Excellent,9,47,52.75,FALSE,2023,EMP1315,2,5,High,USD,linkedin.com/in/lucasiyer193,
EMP2338,Sneha Verma,38,Prefer not to say,sneha.verma@yahoo.com,7491914923,Kolkata,India,Product,Product Manager,Intern,Associate,05-05-2017,,19,0,9.54,Outstanding,3,41,6.21,TRUE,2020,EMP3855,20,4,Low,CAD,linkedin.com/in/snehaverma71,
EMP1789,Suresh Garcia,881,Non-Binary,suresh.garcia@company.in,-5222,Sydney,Australia,Marketing,SEO Specialist,Full-Time,Associate,15-01-2018,,5,1301223,25.13,5,1,8,66.4,TRUE,2010,EMP1719,5,5,Low,USD,,
EMP3790,Abigail Shah,50,Prefer not to say,abigail.shah@corp.com,9.19274E+11,Sydney,Australia,HR,HR Manager,Part-Time,  ,09-17-2018,08-11-2021,5,637623,149.44,Average,5,44,196.84,FALSE,2018,EMP2480,19,3.4,High,INR,linkedin.com/in/abigailshah772,
EMP3990,Evelyn Desai,37,Non-Binary,evelyn.desai@corp.com,,Mumbai,India,HR,CHRO,Contract,BE/BTech,17-May-13,,10,1585380,10.75,Outstanding,62,39,134.18,FALSE,,EMP1900,6,4,Low,INR,linkedin.com/in/evelyndesai918,
EMP2366,Meena Jones,41,Non-Binary,meena.jones@outlook.com,-10376,Kolkata,India,Data Science,Data Analyst,Contract,Master's,20-Jun-21,24-08-2023,2,854315,31.03,Excellent,2,45,99.16,TRUE,2011,EMP2935,6,3.6,Low,USD,linkedin.com/in/meenajones366,
EMP1003,noah pillai,58,Male,noah.pillai@outlook.com,9.18407E+11,Bangalore,India,Operations,Supply Chain Analyst,Contract,PhD,16-Oct-11,,12,1093322,32.08,Good,9,43,61.07,FALSE,2018,,9,0.3,Low,AUD,,
EMP1287,Lucas Davis,29,Female,lucas.davis@company.in,-8247955083,San Francisco,USA,Customer Support,Support Agent,Part-Time,High School,23-10-2010,,13,462707,3.4,Below Average,10,19,142.3,0,2017,EMP3126,13,4.1,Medium,USD,linkedin.com/in/lucasdavis881,
EMP1669,Divya Johnson,56,Non-Binary,divya.johnson@outlook.com,(948) 304-5184,Ahmedabad,India,Engineering,Software Engineer,Intern,High School,10-20-2019,,4,982845,8.2,Good,7,4,154.87,TRUE,2015,EMP3812,9,4,High,INR,linkedin.com/in/divyajohnson879,
EMP1095,Meena Smith,39,Prefer not to say,meena.smith@corp.com,9.17188E+11,Mumbai,India,Marketing,Marketing Analyst,Full-Time,Master's,18-Mar-13,,10,723607,13.95,Average,1,25,124.66,0,2015,EMP3168,10,2,Low,GBP,,
EMP1476,Priya Davis,53,Prefer not to say,priya.davis@yahoo.com,9644839079,Kolkata,India,Operations,Supply Chain Analyst,Full-Time,High School,04-05-2023,,0,-942470,9.06,Average,5,20,92.37,FALSE,2013,,17,1.2,High,AUD,,
EMP3890,Liam Reddy,,Male,liam.reddy@hotmail.com,,Pune,India,Marketing,CMO,Full-Time,Master's,26-Sep-23,13-07-2022,0,-1773114,39.13,Outstanding,4,33,94.03,FALSE,2022,EMP2398,10,4.6,Low,INR,linkedin.com/in/liamreddy278,
EMP1073,Amelia Shah,35,Non-Binary,amelia.shah@company.in,-9711,Kolkata,India,Customer Support,Senior Agent,Full-Time,Bachelor's,04-17-2013,,10,519064,39.04,Average,8,6,66.3,TRUE,2012,EMP2737,20,1.8,High,CAD,,04-09-2024
EMP1435,Rajesh Das,30,Female,rajesh.das@company.in,,Singapore,Singapore,Product,Product Analyst,Contract,MCA,03-01-2014,,10,909158,37.88,Outstanding,,23,166.33,0,2015,,19,0.4,Low,INR,linkedin.com/in/rajeshdas73,
EMP1474,Pooja Johnson,27,Prefer not to say,pooja.johnson@corp.com,-6447,Ahmedabad,India,Data Science,Data Analyst,Contract,MBA,02-28-2023,,0,897390,19.42,Below Average,8,9,88.31,TRUE,2011,EMP2570,6,2.5,High,INR,,
EMP3869,SNEHA PILLAI,33,Prefer not to say,sneha.pillai@corp.com,7112345345,Chennai,India,Marketing,Content Strategist,Part-Time,Master's,08-24-2020,,3,1120578,18.25,Excellent,3,33,14.07,TRUE,,EMP2818,17,2.9,High,CAD,linkedin.com/in/snehapillai686,
EMP3357,,37,Male,arjun.johnson@hotmail.com,9.19446E+11,Singapore,Singapore,Product,Group PM,Intern,BE/BTech,10-12-2011,,12,1741431,5.74,Good,9,41,135.11,FALSE,,EMP2814,6,4.3,Medium,GBP,,
EMP2342,Lucas Bose,52,Male,lucas@bose,,New York,USA,Finance,Controller,Full-Time,MCA,16-03-2023,,0,1680680,25.18,Below Average,9,0,20.8,TRUE,2018,EMP1290,18,2,Medium,GBP,,
EMP1022,Rajesh Chatterjee,24,Prefer not to say,rajesh.chatterjee@gmail.com,9.1956E+11,Chennai,India,Engineering,DevOps Engineer,Full-Time,PhD,01-Aug-13,,10,2255436,20.32,1,9,23,36.45,FALSE,2010,EMP3560,,2.5,High,INR,linkedin.com/in/rajeshchatterjee911,
EMP2064,Jackson Brown,37,Non-Binary,jackson.brown@@company.in,-7648033136,Hyderabad,India,HR,HR Manager,Intern,MBA,10-02-2022,,1,726631,3.83,Average,8,18,57.93,FALSE,2017,EMP2341,9,4.8,Medium,INR,linkedin.com/in/jacksonbrown192,08-02-2026
EMP1979,Liam Das,32,Non-Binary,liam.das@@company.in,9.18084E+11,Ahmedabad,India,Legal,Senior Counsel,Contract,MCA,25-07-2016,,7,955936,0.5,Excellent,0,43,44.42,Yes,2010,EMP1605,18,3.2,Medium,CAD,linkedin.com/in/liamdas596,
EMP3706,ethan singh,54,Prefer not to say,ethan.singh@@hotmail.com,-4594,Delhi,India,Product,Group PM,Part-Time,MBA,Not Available,,8,1899963,13.32,Below Average,3,1,73.3,FALSE,2012,EMP1154,17,4.2,Low,INR,linkedin.com/in/ethansingh275,06-08-2024
EMP1628,William Verma,51,Prefer not to say,william.verma@corp.com,-7769583784,Toronto,Canada,HR,Recruiter,Full-Time,Bachelor's,04-29-2015,,8,866897,31.34,Average,4,49,152.34,TRUE,2024,EMP1181,17,4.6,Low,USD,linkedin.com/in/williamverma272,
EMP3189,Rahul Garcia,-3,Male,rahul.garcia@@corp.com,-10114,Bangalore,India,Finance,Financial Analyst,Full-Time,Associate,16-05-2019,03-02-2020,4,899717,27.09,Good,9,16,156.41,TRUE,2018,EMP3406,,2.4,Medium,GBP,linkedin.com/in/rahulgarcia472,
EMP1195,Rajesh Patel,60,Non-Binary,rajesh.patel@yahoo.com,,Singapore,Singapore,Legal,Legal Manager,Full-Time,BE/BTech,15-Apr-14,,9,1364853,21.82,Below Average,2,33,16.52,TRUE,2020,EMP1127,20,2.2,Low,GBP,linkedin.com/in/rajeshpatel973,
EMP2588,Arjun Chopra,45,Female,arjun.chopra@yahoo.com,-6515,Kolkata,India,Marketing,CMO,Part-Time,Master's,10-03-2023,23-04-2021,0,1667385,0.71,Outstanding,6,37,199.92,1,2011,EMP1873,16,3.8,Low,USD,linkedin.com/in/arjunchopra721,
EMP3777,Abigail Shah,32,Prefer not to say,abigail.shah@yahoo.com,(344) 938-6235,Ahmedabad,India,Marketing,CMO,Full-Time,Bachelor's,05-May-20,,3,1641946,26.34,5,1,50,98.51,FALSE,2020,EMP3398,9,1.9,Medium,INR,linkedin.com/in/abigailshah581,08-01-2025
EMP3640,Harper Nair,60,Female,harper.nair@corp.com,9.17483E+11,Chennai,India,HR,Recruiter,Full-Time,Master's,05-17-2019,24-01-2024,4,837230,0.11,Excellent,4,49,143.1,FALSE,2021,EMP1222,6,,med,CAD,linkedin.com/in/harpernair519,
EMP1088,Isabella Brown,30,Male,isabella.brown@outlook.com,8097924232,Toronto,Canada,Product,Senior PM,Part-Time,Associate,08-28-2016,,7,1327913,20.5,Average,3,19,38.67,0,2018,EMP1444,7,1.1,Low,USD,,14-05-2025
EMP3818,Suresh Joshi,53,Prefer not to say,suresh.joshi@company.in,(937) 420-7457,London,UK,HR,CHRO,Full-Time,MCA,08-02-2010,,13,1646078,30.31,Below Average,2,26,3,TRUE,2024,EMP3124,2,2.6,Low,CAD,linkedin.com/in/sureshjoshi312,
EMP2685,Rohan Davis,33,Female,rohan.davis@company.in,-7479630279,Hyderabad,India,Marketing,SEO Specialist,Intern,PhD,23-Feb-17,,6,1476206,38.99,Average,6,49,,TRUE,2018,EMP1457,20,0.7,High,GBP,linkedin.com/in/rohandavis863,
EMP1465,Divya Shah,35,Non-Binary,divya.shah@corp.com,-9527105439,Singapore,Singapore,Operations,Ops Manager,Intern,BE/BTech,25-07-2023,,0,859763,29.12,Average,7,18,199.8,1,2010,EMP3753,15,5,Low,CAD,linkedin.com/in/divyashah433,
EMP3938,Emma Pillai,59,Female,emma.pillai@hotmail.com,9.18182E+11,Chennai,India,HR ,Logistics Coordinator,Part-Time,BE/BTech,09-08-2019,,4,1133816,2.55,Good,5,30,149.02,1,2019,EMP1458,14,2.9,Low,USD,linkedin.com/in/emmapillai85,
EMP3529,Sneha Davis,28,Male,sneha.davis@yahoo.com,9.18563E+11,London,UK,HR,HR Manager,Part-Time,  ,14-05-2021,,2,724542,24,Excellent,5,1,121.42,FALSE,2013,EMP3281,6,1.1,Low,INR,linkedin.com/in/snehadavis645,
EMP1249,Oliver Nair,33,Female,  oliver.nair@gmail.com  ,(791) 183-8765,Ahmedabad,India,Operations,COO,Full-Time,Bachelor's,Not Available,18-02-2023,17,1779112,,Excellent,10,26,15.85,FALSE,,EMP1269,14,3.5,Medium,GBP,linkedin.com/in/olivernair209,
EMP1804,Abigail Miller,-9,,abigail.miller@corp.com,,Toronto,Canada,Operations,COO,Part-Time,BE/BTech,26-10-2011,,12,1464672,6.8,2,8,39,42.61,TRUE,,EMP1997,5,0.4,Medium,USD,linkedin.com/in/abigailmiller62,27-09-2025
EMP3164,Charlotte Reddy,45,Female,charlotte.reddy@corp.com,-8686358165,Delhi,India,Customer Support,VP Support,Contract,PhD,07-05-2012,,11,1305706,26.33,Below Average,1,7,137.02,FALSE,2010,EMP2011,5,1.1,Medium,CAD,linkedin.com/in/charlottereddy674,20-07-2026
EMP3558,Jackson Rao,57,,jackson.rao@yahoo.com,-7948037304,San Francisco,USA,HR,HR Business Partner,Intern,Master's,02-Jan-18,24-08-2022,6,967068,8.2,Outstanding,3,44,113.03,TRUE,2011,EMP2025,18,4.7,Medium,AUD,linkedin.com/in/jacksonrao776,
EMP2913,Mia Rao,790,Male,mia.rao@yahoo.com,9.18657E+11,Singapore,Singapore,Sales,VP Sales,Intern,BE/BTech,03-06-2021,,2,1839721,11.03,Outstanding,4,-3,146.71,TRUE,2021,EMP1953,15,0.4,High,CAD,,
EMP2062,Oliver Verma,538,F,oliver.verma@company.in,(370) 495-7656,Mumbai,India,Legal,Associate,Contract,MBA,29-05-2018,,5,1300744,8.12,Below Average,4,1,154.05,FALSE,2011,EMP2783,8,4.6,Medium,AUD,linkedin.com/in/oliververma191,21-02-2025
EMP2655,Sneha Brown,,Non-Binary,sneha.brown@outlook.com,9.18752E+11,New York,USA,Data Science,Data Analyst,Intern,MBA,10-13-2020,,3,908866,38.76,Average,7,29,138.62,FALSE,2011,EMP3494,3,0.9,med,GBP,linkedin.com/in/snehabrown511,
EMP2971,Arjun Smith,57,Male,arjun.smith@company.in,,New York,USA,HR,CHRO,Intern,MBA,10-01-2015,,8,1364377,20.71,Outstanding,5,49,93.9,TRUE,2015,EMP2714,4,3.9,low,USD,linkedin.com/in/arjunsmith478,
EMP2049,Liam Das,,Male,liam.das@company.in,7405630384,Toronto,Canada,Data Science,Data Scientist,,MCA,10-May-11,,12,"â‚¹1,135,686",17.47,Outstanding,10,22,27.84,FALSE,2011,EMP2946,16,3.1,High,USD,,
EMP3177,Neha Jones,52,Prefer not to say,neha.jones@hotmail.com,9.19328E+11,London,UK,Sales,VP Sales,,MCA,08-Oct-21,,2,2138446,14.97,Excellent,3,31,134.11,TRUE,2023,EMP3893,16,3.4,Medium,INR,linkedin.com/in/nehajones575,
EMP2636,Ava Chatterjee,55,Prefer not to say,ava.chatterjee@yahoo.com,9.19398E+11,Sydney,Australia,Operations,Logistics Coordinator,Intern,MBA,02-05-2020,,19,1260320,37.06,Below Average,96,21,27.94,FALSE,2019,EMP3196,8,2.2,Low,CAD,,
EMP1435,William Verma,30,Female,william.verma@hotmail.com,9918633007,New York,USA,Data Science,Data Scientist,Intern,PhD,26-02-2010,,13,-1216676,17.26,Good,6,4,98.08,1,2013,EMP2165,11,2.8,High,INR,linkedin.com/in/williamverma903,
EMP1766,Liam Sharma,58,Non-Binary,liam.sharma@company.in,(587) 595-3294,Hyderabad,India,Data Science,Data Analyst,Intern,  ,03-05-2013,,10,903545,17.32,Outstanding,6,14,50.85,Yes,2012,EMP1864,20,4.1,Medium,CAD,linkedin.com/in/liamsharma800,
EMP2593,Deepak Jones,56,Female,deepak.jones@hotmail.com,9.17327E+11,Delhi,India,Legal,CLO,Intern,MCA,Not Available,,8,1984660,8.16,Average,27,46,131.49,FALSE,2019,EMP1341,3,1.9,Medium,AUD,linkedin.com/in/deepakjones813,
EMP3383,Oliver Bose,44,Male,oliver.bose@hotmail.com,9.18567E+11,Kolkata,India,Operations,Supply Chain Analyst,Intern,PhD,18-Mar-23,,0,1047221,39.67,Excellent,5,48,37.97,0,2021,EMP1928,14,2,Low,INR,linkedin.com/in/oliverbose448,
EMP1815,Isabella Williams,30,Prefer not to say,isabella.williams@hotmail.com,8326856608,Chennai,India,Customer Support,Team Lead,Intern,PhD,03-31-2020,,22,677716,24.28,Average,98,3,149.03,TRUE,2015,EMP2116,9,4.7,Medium,GBP,linkedin.com/in/isabellawilliams480,
EMP3092,Divya Williams,51,Female,divya.williams@hotmail.com,(563) 566-5856,London,UK,Sales,VP Sales,Contract,MCA,29-Aug-23,,0,1839145,15.4,Excellent,8,24,14.1,TRUE,2019,EMP2900,16,3.3,High,,linkedin.com/in/divyawilliams326,22-04-2026
EMP2081,Divya Joshi,35,Female,divya.joshi@gmail.com,9619043578,San Francisco,USA,Data Science,Head of Data,Part-Time,Associate,31-01-2018,,5,2372538,21.83,Average,5,49,193.12,0,2021,EMP2431,16,4.4,Medium,INR,linkedin.com/in/divyajoshi908,08-02-2024
EMP1977,Anjali Chatterjee,41,Non-Binary,anjali.chatterjee@outlook.com,9512127100,Toronto,Canada,Sales,Sales Rep,Intern,BE/BTech,09-09-2020,17-10-2020,3,610778,6.69,Below Average,1,23,10.66,TRUE,2013,EMP1231,1,4.4,High,INR,linkedin.com/in/anjalichatterjee369,
EMP3984,Deepak Jones,27,Prefer not to say,deepak.jones@company.in,-10916,San Francisco,USA,Finance,Controller,Intern,MBA,19-04-2013,,10,"â‚¹1,479,660",31.25,Excellent,6,22,11.01,TRUE,2014,EMP3297,15,2.1,Low,CAD,linkedin.com/in/deepakjones425,25-06-2024
EMP3023,Ethan Sharma,25,Female,ethan.sharma@yahoo.com,,Hyderabad,India,Product,Product Manager,Part-Time,  ,04-30-2021,,2,1267822,14.69,1,,17,151.31,TRUE,2016,EMP3194,,1.8,Low,USD,linkedin.com/in/ethansharma745,
EMP3204,Jackson Rao,46,Non-Binary,jackson.rao@@outlook.com,,Hyderabad,India,Marketing,CMO,Part-Time,BE/BTech,23-May-12,,11,1879822,39.87,Good,2,44,64.03,FALSE,2015,EMP2601,10,4.6,High,USD,linkedin.com/in/jacksonrao811,
EMP1853,Neha Jones,50,Female,neha.jones@gmail.com,(206) 594-2166,Mumbai,India,Sales,Senior Sales Rep,Part-Time,BE/BTech,15-01-2015,20-10-2021,8,937462,6.97,Excellent,2,44,81.93,TRUE,,EMP1307,2,,High,USD,linkedin.com/in/nehajones727,09-05-2026
EMP3301,Pooja Desai,36,Prefer not to say,pooja.desai@gmail.com,-8024600480,Ahmedabad,India,HR,Recruiter,Intern,MBA,20-07-2021,,2,794566,11,Good,5,0,173.12,TRUE,2017,EMP2007,17,2,Low,,linkedin.com/in/poojadesai343,
EMP1693,Noah Verma,46,Male,noah.verma@outlook.com,,San Francisco,USA,HR,CHRO,Contract,PhD,13-Oct-23,,0,1516800,15.36,Outstanding,1,38,35.93,No,2022,EMP3295,4,4.3,Low,INR,linkedin.com/in/noahverma746,13-01-2026
EMP2621,Ava Pillai,47,Female,ava@pillai,9.19114E+11,Mumbai,India,Sales,Account Executive,Part-Time,MCA,08-10-2021,,2,"â‚¹1,396,857",38,Average,0,3,139.46,no,2019,EMP3085,6,0.8,med,GBP,linkedin.com/in/avapillai384,
EMP1290,Abigail Reddy,60,Female,abigail.reddy@company.in,9.17777E+11,New York,USA,Legal,Associate,Intern,MCA,11-15-2010,,13,"â‚¹1,050,836",22.08,Outstanding,10,26,71.89,,,EMP2903,15,1.9,Low,INR,linkedin.com/in/abigailreddy392,
EMP3971,Liam Wilson,22,Prefer not to say,liam.wilson@hotmail.com,9.19715E+11,New York,USA,Customer Support,VP Support,Intern,Master's,14-10-2014,11-08-2023,9,1338503,157.16,Excellent,1,18,116.46,TRUE,2010,EMP1876,17,3.9,Low,GBP,,
EMP3697,Jackson Malhotra,27,Prefer not to say,jackson.malhotra@corp.com,-8917760818,Toronto,Canada,Finance,Financial Analyst,Part-Time,Bachelor's,25-11-2012,,11,-739455,37.51,,4,10,106.38,0,2016,EMP3818,1,1.7,Low,USD,linkedin.com/in/jacksonmalhotra194,
EMP2495,Isabella Rao,38,Female,isabella.rao@company.in,9.19249E+11,Chennai,India,Data Science,Data Analyst,Contract,PhD,07-12-2012,,11,"â‚¹936,445",16.63,Average,5,29,138.63,TRUE,2023,EMP3401,13,1.7,Low,AUD,linkedin.com/in/isabellarao200,
EMP2244,Priya Sharma,23,Male,priya.sharma@company.in,9750892558,Chennai,India,Data Science,Head of Data,Intern,BE/BTech,15-11-2019,,4,2719429,24.89,Outstanding,9,35,18.62,TRUE,2011,EMP2911,20,4.9,Medium,INR,linkedin.com/in/priyasharma532,
